School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2022-2023,124,Roanoke City ,400,William Fleming High,             110
2022-2023,124,Roanoke City ,150,Woodrow Wilson Middle,               8
2022-2023,80,Roanoke County ,470,Cave Spring High,              15
2022-2023,80,Roanoke County ,610,Glenvar High,               5
2022-2023,80,Roanoke County ,754,Hidden Valley High,               4
2022-2023,80,Roanoke County ,10,Hidden Valley Middle,               1
2022-2023,80,Roanoke County ,520,Northside High,              16
2022-2023,80,Roanoke County ,640,Northside Middle,               1
2022-2023,80,Roanoke County ,630,William Byrd High,              13
2022-2023,80,Roanoke County ,232,William Byrd Middle,               1
2022-2023,81,Rockbridge County ,22,Rockbridge County High,              12
2022-2023,82,Rockingham County ,870,Broadway High,               9
2022-2023,82,Rockingham County ,391,East Rockingham High,               3
2022-2023,82,Rockingham County ,960,J. Frank Hillyard Middle,               1
2022-2023,82,Rockingham County ,20,Spotswood High,              19
2022-2023,82,Rockingham County ,850,Turner Ashby High,              10
2022-2023,82,Rockingham County ,890,Wilbur S. Pence Middle,               1
2022-2023,83,Russell County ,791,Castlewood High,               4
2022-2023,83,Russell County ,540,Honaker High,               9
2022-2023,83,Russell County ,140,Lebanon High,              14
2022-2023,139,Salem City ,100,Andrew Lewis Middle,               1
2022-2023,139,Salem City ,70,Salem High,              16
2022-2023,84,Scott County ,770,Gate City High,              11
2022-2023,84,Scott County ,771,Gate City Middle,               1
2022-2023,84,Scott County ,260,Rye Cove High,               3
2022-2023,84,Scott County ,780,Twin Springs High,               4
2022-2023,84,Scott County ,772,Virginia Connections Academy,               2
2022-2023,85,Shenandoah County ,780,Central High,               1
2022-2023,85,Shenandoah County ,790,Mountain View High,               4
2022-2023,86,Smyth County ,851,Chilhowie Middle,               1
2022-2023,86,Smyth County ,700,Marion Senior High,               2
2022-2023,86,Smyth County ,250,Northwood High,               2
2022-2023,87,Southampton County ,690,Southampton High,              21
2022-2023,87,Southampton County ,700,Southampton Middle,               4
2022-2023,88,Spotsylvania County ,50,Battlefield Middle,               2
2022-2023,88,Spotsylvania County ,381,Chancellor High,              41
2022-2023,88,Spotsylvania County ,382,Chancellor Middle,               1
2022-2023,88,Spotsylvania County ,20,Courtland High,              26
2022-2023,88,Spotsylvania County ,509,Freedom Middle,               2
2022-2023,88,Spotsylvania County ,506,Massaponax High,              52
2022-2023,88,Spotsylvania County ,220,Post Oak Middle,               3
2022-2023,88,Spotsylvania County ,510,Riverbend High ,              42
2022-2023,88,Spotsylvania County ,370,Spotsylvania High,              35
2022-2023,88,Spotsylvania County ,502,Thornburg Middle,               1
